au_id,title_id,au_ord,royaltyper
172-32-1176,BU1032,1,0
213-46-8915,PS2091,0,1
238-95-7766,PC8888,1,0
267-41-2394,PS2091,0,1
274-80-9391,PS2091,1,0
341-22-1782,TC3218,0,1
409-56-7008,TC4203,1,0
427-17-2319,TC7777,0,1
472-27-2349,PS2091,1,0
486-29-1786,MC3021,0,1
527-72-3246,PS1372,1,0
648-92-1872,PS2106,0,1
672-71-3249,PS3333,1,0
712-45-1867,PS7777,0,1
722-51-5454,BU7832,1,0
724-08-9931,MC2222,0,1
724-80-9391,BU2075,1,0
756-30-7391,MC3021,0,1
807-91-6654,BU1032,1,0
846-92-7186,BU1111,0,1
893-72-1158,PC1035,1,0
899-46-2035,AJ1023,0,1
998-72-3567,JA2045,1,0
