reader_id,reader_id,reader_password
1,lkarforless@superrito.com,qXy9V7g#Kz
2,jking@gustr.com,p4Ws5@tN3x
3,mmeadows@dayrep.com,rJ8nF6&dZm
4,gmoss@gustr.com,h2GqL#yMzP
5,cpayne@gustr.com,kD9wX@vR3s
6,bitall@dayrep.com,fT4eV8b#Pc
7,bdehatchett@dayrep.com,mS7hN1r@Lw
8,afirenzergon@gustr.com,cA3fQ9z#Kx
9,gtofwind@dayrep.com,bW6jH5$yDx
10,ktain@superrito.com,nZ2gC8%vRt
11,benarreau@superrito.com,xE4rP6&wQs
12,afresco@dayrep.com,lT7mV3n@Kb
13,otyme@dayrep.com,vB5gH9$kRj
14,pmeaup@dayrep.com,zX2bN6%qFv
15,vrhee@dayrep.com,qA8dP5&tYs
16,ojouglad@gustr.com,pF3gK7$mVt
17,tpani@dayrep.com,rW6hL9$jXv
18,jtyme@gustr.com,hT2jR4&nZm
19,tanott@gustr.com,kQ7wE1@yNz
20,iquitten@dayrep.com,fS4eW8#xMv
21,equittin@dayrep.com,mD1hC5%rNz
22,mitdowne@gustr.com,cA6fR3&tLm
23,meyezing@dayrep.com,bZ9gV7$kXn
24,sboate@gustr.com,nX3jW6@bCz
25,sbeeches@dayrep.com,xQ8rN5%tPb
