CREDITCARD_ID,CREDITCARD_NUMBER,CREDITCARD_EXP_DATE
3,"453 20915 11179 671",2010-07-31T00:00:00.000Z
4,4539300592846500,2015-06-30T00:00:00.000Z
9,"520805 862793 6369",2011-12-31T00:00:00.000Z
10,"551 84131 53151 310",2015-12-31T00:00:00.000Z
11,4916478181810540,2009-09-30T00:00:00.000Z
12,4716928552964,2012-05-31T00:00:00.000Z
13,"552289 616661 8644",2015-12-31T00:00:00.000Z
14,"646045 4209176253",2015-12-31T00:00:00.000Z
15,"557275 7222585913",2011-08-31T00:00:00.000Z
16,"539 75189 93084 558",2016-01-31T00:00:00.000Z
17,"3405 739979 73834",2013-05-31T00:00:00.000Z
18,4220844936831,2010-03-31T00:00:00.000Z
19,"6450 0198 9049 5890",2014-01-01T00:00:00.000Z
20,"4929 7717 4032 0623",2009-09-30T00:00:00.000Z
21,"487 57329 07655 320",2011-07-31T00:00:00.000Z
22,4556958919174370,2015-08-30T00:00:00.000Z
23,370132085589607,2012-04-30T00:00:00.000Z
24,"3457 890181 40543",2014-05-31T00:00:00.000Z
25,4485233595189,2013-03-31T00:00:00.000Z
26,5397663428915010,2010-10-30T00:00:00.000Z
27,"539 09617 99394 424",2013-01-31T00:00:00.000Z
28,"4251 9964 7881 3477",2009-10-31T00:00:00.000Z
29,4916934026637,2011-11-30T00:00:00.000Z
30,"402400 7132262675",2013-12-31T00:00:00.000Z
31,"644167 329790 0456",2013-12-31T00:00:00.000Z
32,4485036682408,2011-05-31T00:00:00.000Z
33,4107518663215,2013-04-30T00:00:00.000Z
34,348965170555267,2010-11-30T00:00:00.000Z
35,"3760 195822 13027",2014-12-31T00:00:00.000Z
36,4929163190651,2011-07-31T00:00:00.000Z
37,4024007121495920,2013-01-31T00:00:00.000Z
38,4556375310789120,2011-03-31T00:00:00.000Z
39,5237035438441400,2011-12-31T00:00:00.000Z
40,4716004902250500,2013-05-31T00:00:00.000Z
41,"5385 4981 5320 9929",2011-04-30T00:00:00.000Z
42,5560767297956570,2013-04-30T00:00:00.000Z
43,"4556 742 58 2437",2011-06-30T00:00:00.000Z
44,4916881717964,2013-05-31T00:00:00.000Z
45,"646037 199018 5295",2013-01-31T00:00:00.000Z
46,4929806471716,2009-09-30T00:00:00.000Z
47,"453 95801 07450 325",2010-04-30T00:00:00.000Z
48,"4960 951 38 4990",2011-01-31T00:00:00.000Z
50,"491621 0977019223",2013-02-28T00:00:00.000Z
51,"3730 093587 04294",2011-08-31T00:00:00.000Z
52,4024007177138,2014-01-31T00:00:00.000Z
53,"6459 5778 0191 1306",2009-09-30T00:00:00.000Z
54,342400308022952,2009-12-31T00:00:00.000Z
55,"549978 943291 5127",2010-08-31T00:00:00.000Z
56,"4485 545 15 6670",2013-03-31T00:00:00.000Z
