EMPLOYEE_ID,EMPLOYEE_SSN,EMPLOYEE_LASTNAME,EMPLOYEE_FIRSTNAME,EMPLOYEE_JOBTITLE,EMPLOYEE_DEPARTMENT,EMPLOYEE_BIRTHDATE,EMPLOYEE_HIREDATE,EMPLOYEE_TERMDATE,EMPLOYEE_HOURLYWAGE,EMPLOYEE_FULLTIME,EMPLOYEE_SUPERVISOR_ID
1,111220001,Photo,Arial,"Sales Associate",Electronics,1982-01-12T00:00:00.000Z,2011-07-05T00:00:00.000Z,,15.2830,false,5
2,111220002,Ladd,Sal,"Sales Associate",Electronics,1982-11-30T00:00:00.000Z,2005-07-26T00:00:00.000Z,,15.0699,true,5
3,111220003,Dawind,Dustin,"Sales Associate",Hardware,1972-09-03T00:00:00.000Z,2004-07-02T00:00:00.000Z,2010-11-06T00:00:00.000Z,12.4500,false,6
4,111220004,Shores,Sandi,"Sales Associate",Hardware,1990-05-13T00:00:00.000Z,2011-01-02T00:00:00.000Z,,13.0997,true,6
5,111220005,Gunnering,Isabelle,"Department Manager",Electronics,1974-02-22T00:00:00.000Z,2005-08-16T00:00:00.000Z,,20.1287,true,32
6,111220006,Hvmeehom,Lee,"Department Manager",Hardware,1973-07-29T00:00:00.000Z,2004-01-26T00:00:00.000Z,,18.5845,true,32
7,111220007,Wrench,Allan,"Sales Associate",Housewares,1988-04-03T00:00:00.000Z,2005-02-22T00:00:00.000Z,,12.0878,true,24
8,111220008,Gator,Ally,"Sales Associate","Sporting Goods",1973-12-13T00:00:00.000Z,2005-08-14T00:00:00.000Z,,12.3541,true,27
9,111220009,Frienzergon,Alma,"Sales Associate",Housewares,1980-11-30T00:00:00.000Z,2004-11-12T00:00:00.000Z,,11.7152,true,24
10,111220010,Choke,Artie,"Sales Associate",Hardware,1976-10-02T00:00:00.000Z,2005-04-04T00:00:00.000Z,,12.7269,true,6
11,111220011,Alott,Bette,"Sales Associate","Sporting Goods",1988-03-23T00:00:00.000Z,2005-05-06T00:00:00.000Z,,11.5021,false,27
12,111220012,Melator,Bill,"Sales Associate","Sporting Goods",1991-01-29T00:00:00.000Z,2004-10-29T00:00:00.000Z,2011-01-11T00:00:00.000Z,10.3571,true,27
13,111220013,Enweave,Bob,"Sales Associate","Sporting Goods",1987-11-01T00:00:00.000Z,2011-09-01T00:00:00.000Z,,12.4899,true,27
14,111220014,Nugget,"Chris P.","Sales Associate",Electronics,1984-05-05T00:00:00.000Z,2004-07-27T00:00:00.000Z,,15.7089,true,5
15,111220015,Itupp,Chuck,"Sales Associate","Sporting Goods",1991-01-29T00:00:00.000Z,2005-02-23T00:00:00.000Z,,11.2359,false,27
16,111220016,Erin,Detyers,"Sales Associate",Hardware,1990-04-14T00:00:00.000Z,2005-05-01T00:00:00.000Z,,13.4724,true,6
17,111220017,Tan,Kurt,"Sales Associate",Clothing,1985-09-17T00:00:00.000Z,2004-09-04T00:00:00.000Z,,9.8514,false,20
18,111220018,Case,Justin,"Sales Associate",Clothing,1982-12-22T00:00:00.000Z,2004-10-03T00:00:00.000Z,,9.4786,false,20
19,111220019,Belevit,Kent,"Sales Associate",Clothing,1988-11-30T00:00:00.000Z,2005-02-14T00:00:00.000Z,,10.0644,true,20
20,111220020,Mi,Mary,"Department Manager",Clothing,1981-02-17T00:00:00.000Z,2004-01-02T00:00:00.000Z,,20.8210,true,32
21,111220021,Mumm,Maxi,"Sales Associate",Electronics,1989-04-24T00:00:00.000Z,2004-01-29T00:00:00.000Z,,14.2179,true,5
22,111220022,Rophone,Mike,"Sales Associate",Housewares,1988-03-23T00:00:00.000Z,2005-06-20T00:00:00.000Z,,11.7152,false,24
23,111220023,Tural,Nat,"Sales Associate","Sporting Goods",1990-06-02T00:00:00.000Z,2010-09-20T00:00:00.000Z,,12.0346,false,27
24,111220024,Moni,Otto,"Department Manager",Housewares,1983-03-13T00:00:00.000Z,2005-04-09T00:00:00.000Z,,18.6377,true,32
25,111220025,"O'Furniture",Patty,"Sales Associate",Housewares,1987-06-25T00:00:00.000Z,2005-12-08T00:00:00.000Z,,11.6086,true,24
26,111220026,Moss,Pete,"Sales Associate","Sporting Goods",1987-07-07T00:00:00.000Z,2004-05-10T00:00:00.000Z,,10.6501,false,27
27,111220027,Docktur-Indahaus,Sara,"Department Manager","Sporting Goods",1983-10-10T00:00:00.000Z,2004-06-02T00:00:00.000Z,,20.4483,true,32
28,111220028,Isnomor,Sara,"Sales Associate",Clothing,1990-01-14T00:00:00.000Z,2010-04-24T00:00:00.000Z,,9.5851,true,20
29,111220029,Ofewe,Seymour,"Sales Associate","Customer Service",1985-03-30T00:00:00.000Z,2005-05-25T00:00:00.000Z,,14.3777,true,31
30,111220030,Shores,Sonny,"Sales Associate","Customer Service",1984-06-01T00:00:00.000Z,2004-12-01T00:00:00.000Z,,13.7919,true,31
31,111220031,Itupp,Tally,"Department Manager","Customer Service",1981-04-14T00:00:00.000Z,2004-11-28T00:00:00.000Z,,22.8977,true,32
32,111220032,Androll,Tuck,"Store Manager","Customer Service",1983-06-20T00:00:00.000Z,2005-02-15T00:00:00.000Z,,30.3529,true,33
33,111220033,Fudge,Mike,CEO,"Customer Service",1970-01-01T00:00:00.000Z,2004-01-01T00:00:00.000Z,,73.3261,true,
