customer_id,email
1,lkarforless@superrito.com
2,jking@gustr.com
3,mmeadows@dayrep.com
4,gmoss@gustr.com
5,cpayne@gustr.com
6,bitall@dayrep.com
7,bdehatchett@dayrep.com
8,afirenzergon@gustr.com
9,gtofwind@dayrep.com
10,ktain@superrito.com
11,benarreau@superrito.com
12,afresco@dayrep.com
13,otyme@dayrep.com
14,pmeaup@dayrep.com
15,vrhee@dayrep.com
16,ojouglad@gustr.com
17,tpani@dayrep.com
18,jtyme@gustr.com
19,tanott@gustr.com
20,iquitten@dayrep.com
21,equittin@dayrep.com
22,mitdowne@gustr.com
23,meyezing@dayrep.com
24,sboate@gustr.com
25,sbeeches@dayrep.com
